Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
emil audero,Sampdoria,32.3,0.21,-4.7,45.8,356.0,6.7,23.0,2022-2023,seriea
francesco bardi,Bologna,0.6,0.16,0.6,38.5,10.0,0.0,0.0,2022-2023,seriea
marco carnesecchi,Cremonese,44.2,0.28,-1.8,52.2,402.0,7.2,29.0,2022-2023,seriea
michele cerofolini,Fiorentina,3.4,0.22,0.4,34.7,29.0,3.4,3.0,2022-2023,seriea
andrea consigli,Sassuolo,38.5,0.31,-14.5,30.4,467.0,6.0,28.0,2022-2023,seriea
alex cordaz,Inter,0.5,0.26,0.5,26.7,7.0,0.0,0.0,2022-2023,seriea
alessio cragno,Monza,1.7,0.35,-1.3,12.0,7.0,0.0,2.0,2022-2023,seriea
michele di gregorio,Monza,48.7,0.28,0.7,30.4,541.0,2.6,32.0,2022-2023,seriea
bartomiej dragowski,Spezia,46.1,0.25,-4.9,37.6,472.0,2.8,32.0,2022-2023,seriea
wladimiro falcone,Lecce,43.5,0.24,0.5,56.8,534.0,4.3,42.0,2022-2023,seriea
vincenzo fiorillo,Salernitana,1.9,0.49,-0.1,57.9,7.0,14.3,0.0,2022-2023,seriea
pierluigi gollini,Napoli,3.1,0.19,-0.9,20.3,56.0,3.6,4.0,2022-2023,seriea
pierluigi gollini,Fiorentina,1.7,0.21,-0.3,27.0,24.0,4.2,0.0,2022-2023,seriea
samir handanovic,Inter,15.0,0.27,-2.0,15.6,149.0,1.3,10.0,2022-2023,seriea
mike maignan,Milan,20.3,0.28,-0.7,22.8,221.0,6.8,32.0,2022-2023,seriea
federico marchetti,Spezia,1.5,0.48,-0.5,10.0,8.0,0.0,1.0,2022-2023,seriea
luis maximiano,Lazio,,,,,,,,2022-2023,seriea
alex meret,Napoli,25.0,0.25,1.0,14.3,335.0,3.3,39.0,2022-2023,seriea
vanja milinkovicsavic,Torino,35.8,0.23,-5.2,45.0,469.0,7.7,70.0,2022-2023,seriea
antonio mirante,Milan,0.0,,0.0,0.0,0.0,,0.0,2022-2023,seriea
lorenzo montipo,Hellas Verona,49.6,0.27,-6.4,62.9,496.0,5.2,55.0,2022-2023,seriea
juan musso,Atalanta,21.7,0.23,-3.3,32.5,253.0,5.5,24.0,2022-2023,seriea
guillermo ochoa,Salernitana,34.8,0.3,1.8,53.6,311.0,3.5,10.0,2022-2023,seriea
andre onana,Inter,19.3,0.21,-2.7,25.5,283.0,5.3,10.0,2022-2023,seriea
rui patricio,Roma,27.6,0.23,-6.4,37.6,402.0,4.0,25.0,2022-2023,seriea
gianluca pegolo,Sassuolo,3.2,0.38,0.2,21.3,28.0,7.1,0.0,2022-2023,seriea
simone perilli,Hellas Verona,0.8,0.19,0.8,81.0,19.0,5.3,1.0,2022-2023,seriea
mattia perin,Juventus,11.2,0.23,4.2,28.6,154.0,2.6,11.0,2022-2023,seriea
samuele perisan,Empoli,7.5,0.31,-1.5,32.0,134.0,3.7,4.0,2022-2023,seriea
ivan provedel,Lazio,31.4,0.25,2.4,27.4,493.0,4.3,55.0,2022-2023,seriea
ionut radu,Cremonese,21.0,0.29,2.0,41.1,107.0,5.6,9.0,2022-2023,seriea
nicola ravaglia,Sampdoria,17.9,0.26,-5.1,42.5,155.0,6.5,1.0,2022-2023,seriea
francesco rossi,Atalanta,0.0,,0.0,0.0,1.0,0.0,0.0,2022-2023,seriea
alessandro russo,Sassuolo,2.8,0.4,-0.2,28.6,14.0,0.0,0.0,2022-2023,seriea
mouhamadou sarr,Cremonese,2.9,0.36,-0.1,40.8,18.0,0.0,1.0,2022-2023,seriea
luigi sepe,Salernitana,30.3,0.27,3.3,40.6,222.0,7.2,13.0,2022-2023,seriea
marco silvestri,Udinese,48.7,0.31,2.7,31.9,547.0,2.4,21.0,2022-2023,seriea
salvatore sirigu,Fiorentina,1.0,0.19,1.0,40.0,12.0,0.0,2.0,2022-2023,seriea
ukasz skorupski,Bologna,47.8,0.25,1.8,29.8,492.0,5.9,24.0,2022-2023,seriea
marco sportiello,Atalanta,19.6,0.29,-1.4,20.5,200.0,9.0,18.0,2022-2023,seriea
mile svilar,Roma,2.9,0.29,-0.1,50.8,42.0,14.3,4.0,2022-2023,seriea
wojciech szczesny,Juventus,26.0,0.25,0.0,32.2,389.0,2.8,21.0,2022-2023,seriea
ciprian tatarusanu,Milan,16.8,0.25,-4.2,32.1,195.0,4.6,13.0,2022-2023,seriea
pietro terracciano,Fiorentina,33.1,0.28,-2.9,32.7,271.0,4.4,55.0,2022-2023,seriea
martin turk,Sampdoria,8.0,0.26,-1.0,41.4,60.0,0.0,2.0,2022-2023,seriea
samir ujkani,Empoli,0.2,0.25,-0.8,0.0,1.0,0.0,0.0,2022-2023,seriea
guglielmo vicario,Empoli,40.9,0.27,2.9,33.5,606.0,5.6,22.0,2022-2023,seriea
jeroen zoet,Spezia,2.8,0.14,-1.2,54.5,62.0,6.5,6.0,2022-2023,seriea
petar zovko,Spezia,1.7,0.55,-0.3,47.8,24.0,4.2,2.0,2022-2023,seriea
