Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
junior adamu,Freiburg,53,252,234,80,534,29,34.5,18,62.1,349,5,4,59,24,2024-2025,bundesliga
karim adeyemi,Dortmund,51,231,365,88,636,94,42.6,49,52.1,1543,36,41,43,31,2024-2025,bundesliga
amine adli,Leverkusen,40,152,286,53,468,32,46.9,16,50.0,838,25,11,20,6,2024-2025,bundesliga
oladapo afolayan,St. Pauli,84,304,365,62,741,98,49.0,43,43.9,1392,43,28,63,45,2024-2025,bundesliga
felix agu,Werder Bremen,315,465,270,37,1045,35,25.7,19,54.3,1278,12,8,33,12,2024-2025,bundesliga
erik ahlstrand,St. Pauli,2,10,10,2,22,0,,0,,26,2,0,3,0,2024-2025,bundesliga
kevin akpoguma,Hoffenheim,759,830,115,5,1692,15,53.3,6,40.0,1772,15,0,11,9,2024-2025,bundesliga
andreas albers,St. Pauli,2,17,26,8,44,3,66.7,0,0.0,18,0,0,4,6,2024-2025,bundesliga
ben alexander voll,St. Pauli,52,0,0,0,52,0,,0,,120,0,0,0,0,2024-2025,bundesliga
skelly alvero,Werder Bremen,49,68,19,2,136,3,66.7,1,33.3,132,1,0,6,4,2024-2025,bundesliga
aurele amenda,Eint Frankfurt,42,42,6,1,89,1,100.0,0,0.0,72,0,0,1,0,2024-2025,bundesliga
nadiem amiri,Mainz 05,360,1159,604,49,2091,67,47.8,31,46.3,2578,43,14,42,27,2024-2025,bundesliga
mohamed amoura,Wolfsburg,119,385,629,127,1104,91,40.7,48,52.7,2067,46,35,86,18,2024-2025,bundesliga
robert andrich,Leverkusen,252,646,220,20,1114,5,40.0,1,20.0,886,14,1,7,1,2024-2025,bundesliga
waldemar anton,Dortmund,793,1162,179,32,2126,24,83.3,2,8.3,3497,28,0,21,9,2024-2025,bundesliga
maximilian arnold,Wolfsburg,356,927,308,7,1576,6,16.7,3,50.0,1200,11,0,18,11,2024-2025,bundesliga
jannfiete arp,Holstein Kiel,43,115,151,28,301,32,43.8,16,50.0,344,10,3,34,16,2024-2025,bundesliga
arthur,Leverkusen,119,220,173,13,508,24,20.8,19,79.2,698,14,2,13,6,2024-2025,bundesliga
noah atubolu,Freiburg,1188,11,0,0,1198,0,,0,,1803,0,0,0,0,2024-2025,bundesliga
ayman azhil,Dortmund,2,4,3,0,9,1,0.0,1,100.0,0,0,0,1,1,2024-2025,bundesliga
adam aznou,Bayern Munich,1,7,11,0,18,0,,0,,16,2,0,0,0,2024-2025,bundesliga
aliou badara balde,Bochum,2,18,25,2,43,9,22.2,6,66.7,129,4,0,5,3,2024-2025,bundesliga
ridle baku,Wolfsburg,112,307,234,34,646,20,45.0,10,50.0,643,9,8,15,10,2024-2025,bundesliga
ridle baku,RB Leipzig,151,356,295,32,796,24,66.7,6,25.0,863,17,3,26,14,2024-2025,bundesliga
samuel bamba,Bochum,2,11,19,1,31,4,25.0,3,75.0,69,2,1,3,0,2024-2025,bundesliga
noahkai banks,Augsburg,94,124,14,2,229,1,0.0,1,100.0,253,5,0,2,1,2024-2025,bundesliga
scott banks,St. Pauli,11,12,26,6,48,7,28.6,3,42.9,63,1,3,0,2,2024-2025,bundesliga
aymen barkok,Mainz 05,9,22,17,1,47,3,0.0,2,66.7,75,0,0,0,0,2024-2025,bundesliga
michy batshuayi,Eint Frankfurt,8,57,37,14,101,7,28.6,5,71.4,103,2,2,11,1,2024-2025,bundesliga
maximilian bauer,Augsburg,177,222,24,3,422,0,,0,,539,4,0,6,2,2024-2025,bundesliga
oliver baumann,Hoffenheim,1123,25,0,0,1147,1,100.0,0,0.0,1803,0,0,0,0,2024-2025,bundesliga
christoph baumgartner,RB Leipzig,167,451,311,65,910,42,40.5,19,45.2,1434,35,7,47,31,2024-2025,bundesliga
ihlas bebou,Hoffenheim,0,2,3,1,5,0,,0,,1,0,0,1,0,2024-2025,bundesliga
adrian beck,Heidenheim,184,502,296,53,962,75,53.3,30,40.0,1192,17,11,42,26,2024-2025,bundesliga
timo becker,Holstein Kiel,682,519,142,28,1325,26,46.2,14,53.8,1709,26,1,28,10,2024-2025,bundesliga
hannes behrens,Hoffenheim,2,11,14,2,27,1,100.0,0,0.0,25,1,0,2,0,2024-2025,bundesliga
kevin behrens,Wolfsburg,7,45,54,16,106,1,0.0,1,100.0,80,1,1,10,1,2024-2025,bundesliga
maximilian beier,Dortmund,73,245,308,88,618,51,43.1,27,52.9,748,12,9,39,26,2024-2025,bundesliga
stefan bell,Mainz 05,514,402,41,30,952,6,33.3,3,50.0,991,1,1,13,4,2024-2025,bundesliga
jeanuel belocian,Leverkusen,9,20,15,1,44,1,100.0,0,0.0,39,2,0,2,0,2024-2025,bundesliga
laszlo benes,Union Berlin,53,189,160,13,400,5,20.0,4,80.0,352,7,3,8,5,2024-2025,bundesliga
ramy bensebaini,Dortmund,513,914,349,36,1766,18,27.8,11,61.1,1924,32,2,16,6,2024-2025,bundesliga
mergim berisha,Hoffenheim,11,35,47,12,93,8,37.5,5,62.5,78,3,1,6,3,2024-2025,bundesliga
mergim berisha,Augsburg,1,8,9,3,18,0,,0,,34,0,1,2,3,2024-2025,bundesliga
bernardo,Bochum,553,605,98,28,1249,5,60.0,2,40.0,1475,7,1,11,8,2024-2025,bundesliga
alexander bernhardsson,Holstein Kiel,109,223,202,41,520,53,41.5,26,49.1,839,19,13,36,18,2024-2025,bundesliga
matus bero,Bochum,257,747,637,56,1618,55,34.5,36,65.5,1418,37,9,46,23,2024-2025,bundesliga
janniklas beste,Freiburg,23,50,65,11,136,8,25.0,6,75.0,196,6,4,6,3,2024-2025,bundesliga
el bilal toure,Stuttgart,6,49,85,23,137,6,50.0,3,50.0,168,5,4,10,2,2024-2025,bundesliga
tom bischof,Hoffenheim,376,957,634,46,1951,64,45.3,32,50.0,2092,34,9,41,38,2024-2025,bundesliga
leonardo bittencourt,Werder Bremen,148,455,205,20,801,5,20.0,3,60.0,992,13,2,12,2,2024-2025,bundesliga
myron boadu,Bochum,19,123,150,46,286,23,47.8,12,52.2,343,9,7,30,15,2024-2025,bundesliga
sacha boey,Bayern Munich,83,272,226,11,580,19,31.6,11,57.9,745,9,4,11,7,2024-2025,bundesliga
victor boniface,Leverkusen,24,163,215,77,399,35,42.9,19,54.3,507,12,15,43,29,2024-2025,bundesliga
sebastiaan bornauw,Wolfsburg,170,239,21,10,428,1,0.0,1,100.0,379,2,0,2,1,2024-2025,bundesliga
carlo boukhalfa,St. Pauli,118,315,222,29,651,28,42.9,16,57.1,486,9,3,31,20,2024-2025,bundesliga
julian brandt,Dortmund,155,671,645,81,1455,54,35.2,32,59.3,2014,48,17,48,36,2024-2025,bundesliga
tim breithaupt,Augsburg,18,49,8,1,75,2,100.0,0,0.0,67,0,0,3,2,2024-2025,bundesliga
maximilian breunig,Heidenheim,17,77,51,17,139,7,42.9,3,42.9,138,4,2,15,6,2024-2025,bundesliga
