Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
rayan cherki,Lyon,45,19,0.18,5.0,5.0,0.11,3.0,2024-2025,ligue-1
lucas chevalier,Lille,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
pedro chirivella,Nantes,8,2,0.0,0.5,0.5,0.06,-0.5,2024-2025,ligue-1
joris chotard,Montpellier,19,3,0.05,1.3,1.3,0.07,-0.3,2024-2025,ligue-1
djaoui cisse,Rennes,15,7,0.07,0.4,0.4,0.03,0.6,2024-2025,ligue-1
yoann cisse,Auxerre,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
jonathan clauss,Nice,26,8,0.12,2.2,2.2,0.09,0.8,2024-2025,ligue-1
marcus coco,Nantes,2,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,ligue-1
alois confais,Le Havre,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
francis coquelin,Nantes,7,1,0.14,1.0,1.0,0.15,0.0,2024-2025,ligue-1
derek cornelius,Marseille,9,1,0.0,0.9,0.9,0.1,-0.9,2024-2025,ligue-1
pierre cornud,Saint-Étienne,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
david costa,Lens,9,2,0.0,1.2,1.2,0.13,-1.2,2024-2025,ligue-1
logan costa,Toulouse,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
gregoire coudert,Brest,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
lasso coulibaly,Auxerre,3,2,0.33,0.3,0.3,0.09,0.7,2024-2025,ligue-1
mamadou coulibaly,Monaco,1,0,0.0,0.1,0.1,0.08,-0.1,2024-2025,ligue-1
soumaila coulibaly,Brest,4,0,0.0,0.2,0.2,0.04,-0.2,2024-2025,ligue-1
tanguy coulibaly,Montpellier,30,13,0.1,3.5,3.5,0.12,-0.5,2024-2025,ligue-1
marius courcoul,Angers,3,1,0.0,0.1,0.1,0.03,-0.1,2024-2025,ligue-1
nicolas cozza,Nantes,17,6,0.06,1.4,1.4,0.08,-0.4,2024-2025,ligue-1
charlie cresswell,Toulouse,32,13,0.09,3.3,3.3,0.1,-0.3,2024-2025,ligue-1
kevin danois,Auxerre,17,3,0.0,1.5,1.5,0.09,-1.5,2024-2025,ligue-1
kevin danso,Lens,10,2,0.0,0.5,0.5,0.05,-0.5,2024-2025,ligue-1
dante,Nice,9,2,0.0,0.5,0.5,0.05,-0.5,2024-2025,ligue-1
pape daouda diongue,Strasbourg,5,2,0.2,1.0,1.0,0.2,0.0,2024-2025,ligue-1
mohamed daramy,Reims,1,0,0.0,0.0,0.0,0.03,0.0,2024-2025,ligue-1
jonathan david,Lille,66,28,0.15,16.2,10.7,0.16,-0.2,2024-2025,ligue-1
zuriko davitashvili,Saint-Étienne,68,24,0.1,8.1,6.6,0.1,0.9,2024-2025,ligue-1
theo de percin,Auxerre,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
thibault de smet,Reims,1,0,0.0,0.1,0.1,0.14,-0.1,2024-2025,ligue-1
amar dedic,Marseille,6,2,0.0,0.9,0.9,0.15,-0.9,2024-2025,ligue-1
romain del castillo,Brest,17,8,0.18,4.7,1.5,0.09,1.3,2024-2025,ligue-1
thomas delaine,Strasbourg,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
andy delort,Montpellier,17,6,0.0,1.3,1.3,0.08,-1.3,2024-2025,ligue-1
ousmane dembele,Paris S-G,96,49,0.21,16.6,15.8,0.16,4.4,2024-2025,ligue-1
remy descamps,Lyon,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
arthur desmas,Le Havre,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
mamadou diakhon,Reims,18,8,0.11,1.0,1.0,0.06,1.0,2024-2025,ligue-1
bafode diakite,Lille,16,7,0.25,2.3,2.3,0.15,1.7,2024-2025,ligue-1
oumar diakite,Reims,26,9,0.15,5.5,4.7,0.18,-1.5,2024-2025,ligue-1
habib diarra,Strasbourg,25,10,0.08,3.3,1.8,0.07,0.7,2024-2025,ligue-1
krepin diatta,Monaco,2,1,0.0,0.2,0.2,0.08,-0.2,2024-2025,ligue-1
kandet diawara,Le Havre,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
mahamadou diawara,Le Havre,7,1,0.0,0.4,0.4,0.06,-0.4,2024-2025,ligue-1
mahamadou diawara,Lyon,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
bamba dieng,Angers,13,6,0.15,3.1,2.3,0.18,-0.1,2024-2025,ligue-1
kembo diliwidi,Lens,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
sinaly diomande,Auxerre,9,4,0.33,1.1,1.1,0.13,1.9,2024-2025,ligue-1
lois diony,Angers,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
serigne diop,Brest,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
sofiane diop,Nice,22,11,0.27,6.0,6.0,0.27,0.0,2024-2025,ligue-1
andy diouf,Lens,40,5,0.03,2.9,2.9,0.07,-1.9,2024-2025,ligue-1
yehvann diouf,Reims,1,1,0.0,0.1,0.1,0.06,-0.1,2024-2025,ligue-1
assane diousse,Auxerre,3,2,0.0,0.1,0.1,0.02,-0.1,2024-2025,ligue-1
alex dominguez,Toulouse,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
gianluigi donnarumma,Paris S-G,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
sekou doucoure,Nantes,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
desire doue,Paris S-G,55,20,0.11,5.1,5.1,0.09,0.9,2024-2025,ligue-1
guela doue,Strasbourg,18,6,0.06,0.8,0.8,0.05,0.2,2024-2025,ligue-1
douglas,Nantes,36,14,0.11,3.4,3.4,0.1,0.6,2024-2025,ligue-1
ismael doukoure,Strasbourg,3,1,0.33,0.6,0.6,0.19,0.4,2024-2025,ligue-1
kamory doumbia,Brest,22,10,0.14,2.7,2.7,0.13,0.3,2024-2025,ligue-1
amidou doumbouya,Nice,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
jeankevin duverne,Nantes,4,0,0.0,0.3,0.3,0.07,-0.3,2024-2025,ligue-1
stefan dzodic,Montpellier,3,0,0.0,0.1,0.1,0.03,-0.1,2024-2025,ligue-1
aron dnnum,Toulouse,31,5,0.06,2.1,2.1,0.07,-0.1,2024-2025,ligue-1
noah edjouma,Toulouse,5,3,0.4,1.3,1.3,0.26,0.7,2024-2025,ligue-1
jacques ekomie,Angers,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,ligue-1
pierre ekwah elimby,Saint-Étienne,25,6,0.04,0.7,0.7,0.03,0.3,2024-2025,ligue-1
meschak elia,Nantes,5,1,0.2,1.1,1.1,0.22,-0.1,2024-2025,ligue-1
breel embolo,Monaco,51,18,0.12,10.8,10.8,0.21,-4.8,2024-2025,ligue-1
emanuel emegha,Strasbourg,61,35,0.23,17.0,17.0,0.28,-3.0,2024-2025,ligue-1
romain faivre,Brest,18,9,0.11,2.6,1.8,0.11,0.4,2024-2025,ligue-1
khalil fayad,Montpellier,17,3,0.0,1.3,1.3,0.07,-1.3,2024-2025,ligue-1
luiz felipe,Marseille,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
zinedine ferhat,Angers,12,5,0.17,1.4,1.4,0.11,0.6,2024-2025,ligue-1
edimilson fernandes,Brest,10,2,0.0,0.4,0.4,0.04,-0.4,2024-2025,ligue-1
matias fernandezpardo,Lille,23,12,0.17,2.9,2.9,0.12,1.1,2024-2025,ligue-1
jordan ferri,Montpellier,14,3,0.0,0.4,0.4,0.03,-0.4,2024-2025,ligue-1
karol fila,Strasbourg,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
malick fofana,Lyon,31,15,0.16,3.8,3.8,0.12,1.2,2024-2025,ligue-1
rayan fofana,Lens,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
seko fofana,Rennes,24,6,0.04,1.8,1.8,0.07,-0.8,2024-2025,ligue-1
yahia fofana,Angers,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
lamine fomba,Saint-Étienne,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,ligue-1
przemysaw frankowski,Lens,14,5,0.14,2.3,0.7,0.05,1.7,2024-2025,ligue-1
angelo fulgini,Lens,26,9,0.04,2.4,2.4,0.09,-1.4,2024-2025,ligue-1
kyogo furuhashi,Rennes,1,0,0.0,0.1,0.1,0.13,-0.1,2024-2025,ligue-1
gauthier gallon,Rennes,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
ignatius ganago,Nantes,7,0,0.0,0.4,0.4,0.06,-0.4,2024-2025,ligue-1
ulisses garcia,Marseille,8,2,0.25,1.5,1.5,0.19,0.5,2024-2025,ligue-1
jeanphilippe gbamin,Nantes,2,0,0.0,0.5,0.5,0.26,-0.5,2024-2025,ligue-1
mory gbane,Reims,4,2,0.0,0.2,0.2,0.04,-0.2,2024-2025,ligue-1
yann gboho,Toulouse,50,26,0.1,5.4,5.4,0.11,-0.4,2024-2025,ligue-1
denis genreau,Toulouse,6,0,0.0,0.3,0.3,0.05,-0.3,2024-2025,ligue-1
aleksandr golovin,Monaco,24,9,0.13,2.3,2.3,0.1,0.7,2024-2025,ligue-1
andre gomes,Lille,11,3,0.0,0.5,0.5,0.05,-0.5,2024-2025,ligue-1
angel gomes,Lille,8,2,0.13,1.7,0.9,0.11,-0.7,2024-2025,ligue-1
carlos gomez,Rennes,9,5,0.33,1.3,1.3,0.15,1.7,2024-2025,ligue-1
mathieu gorgelin,Le Havre,0,0,,0.0,0.0,,0.0,2024-2025,ligue-1
amine gouiri,Marseille,51,24,0.2,8.4,8.4,0.17,1.6,2024-2025,ligue-1
amine gouiri,Rennes,31,16,0.1,3.5,3.5,0.11,-0.5,2024-2025,ligue-1
jonathan gradit,Lens,16,4,0.0,0.8,0.8,0.05,-0.8,2024-2025,ligue-1
