player_name,player_id,team_name,position,other_positions,date_of_birth,age,height_m,nationality,market_value,joined,contract_expires,Value last updated,Citizenship,Last club,Since,Market value history,Transfer history,Player URL,height_cm
Thibaut Courtois,108390,Real Madrid,Goalkeeper,,11/05/1992 (33),33,2.0,Belgium,€20.00m,09/08/2018,30/06/2027,09/06/2025,['Belgium'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,200.0
Andriy Lunin,404839,Real Madrid,Goalkeeper,,11/02/1999 (26),26,1.91,Ukraine,€18.00m,01/07/2018,30/06/2030,09/06/2025,['Ukraine'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,191.0
Luis López,623525,SD Eibar,Goalkeeper,,08/05/2001 (24),24,1.97,Spain,€300k,01/07/2025,30/06/2027,24/06/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/luis-lopez/profil/spieler/623525,197.0
Toni Fuidias,623526,Gimnàstic,Goalkeeper,,15/04/2001 (24),24,1.95,Spain,€300k,22/07/2025,30/06/2026,24/06/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/toni-fuidias/profil/spieler/623526,195.0
Diego Piñeiro,926850,Real Murcia,Goalkeeper,,13/02/2004 (21),21,1.85,Spain,€100k,21/08/2025,30/06/2026,25/06/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/diego-pineiro/profil/spieler/926850,185.0
Éder Militão,401530,Real Madrid,Centre-Back,"            0
0  Right-Back",18/01/1998 (27),27,1.86,Brazil,€30.00m,01/07/2019,30/06/2028,09/06/2025,"['Spain', 'Brazil']",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/eder-militao/profil/spieler/401530,186.0
David Alaba,59016,Real Madrid,Centre-Back,"                  0
0         Left-Back
1  Central Midfield",24/06/1992 (33),33,1.8,Austria,€4.00m,01/07/2021,30/06/2026,02/10/2025,['Austria'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/david-alaba/profil/spieler/59016,180.0
Nacho Fernández,58884,Al-Qadsiah,Centre-Back,"            0
0  Right-Back
1   Left-Back",18/01/1990 (35),35,1.8,Spain,€2.00m,18/07/2024,30/06/2026,27/05/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,180.0
Jesús Vallejo,251896,Albacete,Centre-Back,"            0
0  Right-Back",05/01/1997 (28),28,1.84,Spain,€1.00m,14/07/2025,30/06/2027,09/06/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/jesus-vallejo/profil/spieler/251896,184.0
Mario Gila,618341,Lazio,Centre-Back,,29/08/2000 (25),25,1.85,Spain,€30.00m,12/07/2022,30/06/2027,17/06/2025,['Spain'],,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",https://www.transfermarkt.com/mario-gila/profil/spieler/618341,185.0
